3632
3675
3778
3943
3693
4714
3610
3686
3765
3601
3683
4139
3581
4488
3693
3741
4100
3744
5061
3697
------------------ result ---------------------
Communicate Latency (ms):
Avg	50%	75%	90%	95%	99%	
3901.20	3697	3943	4488	4714	4714	
