3656
4009
3566
3717
4217
3701
3723
3624
4055
5073
3657
4029
3594
4142
3667
3636
3832
3813
3858
3638
------------------ result ---------------------
Communicate Latency (ms):
Avg	50%	75%	90%	95%	99%	
3860.35	3717	4009	4142	4217	4217	
