3562
3771
3809
131
7405
137
125
3638
129
3792
131
132
149
143
134
131
133
132
4708
3628
------------------ result ---------------------
Communicate Latency (ms):
Avg	50%	75%	90%	95%	99%	
1796.00	137	3638	3809	4708	4708	
